Line Numbers,"Ca Elemental Percents""",Mg Elemental Percents,Sr Elemental Percents,Fe Elemental Percents,Mn Elemental Percents,S  Elemental Percents,,CaO Oxide Percents,MgO Oxide Percents,SrO Oxide Percents,FeO Oxide Percents,MnO Oxide Percents,SO3 Oxide Percents,Ca Atomic Percents,Mg Atomic Percents,Sr Atomic Percents,Fe Atomic Percents,Mn Atomic Percents,S  Atomic Percents,Ca Formula Atoms,Mg Formula Atoms,Sr Formula Atoms,Fe Formula Atoms,Mn Formula Atoms,S  Formula Atoms,Elemental Totals,Oxide Totals,Atomic Totals,Formula Totals,,Ca Detection Limits,Mg Detection Limits,Sr Detection Limits,Fe Detection Limits,Mn Detection Limits,S  Detection Limits,Ca Percent Errors,Mg Percent Errors,Sr Percent Errors,Fe Percent Errors,Mn Percent Errors,S  Percent Errors
161,21.759,13.082,0.066,0.369,0.115,0.003,,30.44503,21.693792,0.07748,0.474964,0.148567,0.006628,10.477545,10.387897,0.014431,0.127586,0.04042,0.001598,0.52694,0.522432,0.000726,0.006417,0.002033,0.00008,96.856461,96.856461,100.000008,5.029233,,0.016343,0.026856,0.051055,0.03058,0.029,0.011202,0.346355,0.521177,40.540867,5.132537,13.18,201.265259
162,21.751,13.274,0.000,0.381,0.144,0.011,,30.434326,22.01285,0,0.48987,0.18617,0.027514,10.440665,10.50727,0,0.131173,0.05049,0.006611,0.525311,0.528662,0,0.0066,0.00254,0.000333,97.160736,97.160721,100,5.03139,,0.015364,0.025708,0.058543,0.030015,0.028,0.010811,0.346258,0.516507,-191.72391,4.956862,10.71,48.625237
Un   23  MD6_258_6_B3_O2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,22.021,13.222,0.000,0.254,0.061,0.022,,30.811634,21.925253,0,0.326176,0.07888,0.053916,10.564318,10.459729,0,0.087293,0.021381,0.012948,0.531522,0.52626,0,0.004392,0.001076,0.000651,97.205856,97.205856,100.000008,5.0313,,0.01617,0.026445,0.06273,0.029256,0.028,0.009494,0.344145,0.5176,-63.73917,6.763319,22.94,23.333899
164,21.834,13.507,0.013,0.188,0.008,0.008,,30.550341,22.398596,0.015713,0.241909,0.010882,0.020072,10.457598,10.668068,0.002911,0.064635,0.002945,0.004813,0.526364,0.536957,0.000147,0.003253,0.000148,0.000242,97.247513,97.247513,99.999992,5.033313,,0.016539,0.027676,0.057293,0.029029,0.029,0.010493,0.345788,0.512264,206.809875,8.645514,164.00,63.993206
165,22.028,13.334,0.045,0.131,0.024,0.016,,30.821026,22.111618,0.053578,0.168728,0.031573,0.040614,10.558937,10.540052,0.009934,0.045119,0.008551,0.009746,0.53135,0.5304,0.0005,0.00227,0.00043,0.00049,97.237137,97.237137,100,5.032229,,0.017,0.026635,0.052824,0.03044,0.029,0.009254,0.344411,0.515238,58.70575,12.286226,56.61,29.527235
166,21.366,13.273,0.000,0.619,0.019,0.002,,29.895346,22.010021,0,0.796544,0.023895,0.003856,10.288588,10.539542,0,0.213974,0.006501,0.000929,0.517441,0.530062,0,0.010761,0.000327,0.000047,96.739655,96.739655,99.999992,5.029273,,0.016637,0.025919,0.056467,0.030122,0.028,0.010378,0.34931,0.516248,-159.11128,3.444291,72.22,319.356079
167,21.449,13.033,0.017,0.489,0.093,0.011,,30.0121,21.61318,0.020235,0.629422,0.120059,0.026938,10.360614,10.381422,0.003781,0.169602,0.032765,0.006514,0.520755,0.521801,0.00019,0.008525,0.001647,0.000327,96.431938,96.431938,100,5.026295,,0.016525,0.026906,0.054803,0.029525,0.027,0.010259,0.348623,0.52193,154.666534,4.056209,15.22,47.322906
168,21.931,13.269,0.000,0.053,0.000,0.010,,30.685352,22.00452,0,0.067907,0,0.025928,10.544095,10.520569,0,0.018213,0,0.00624,0.530377,0.529194,0,0.000916,0,0.000314,96.793716,96.793701,100,5.030087,,0.016331,0.026172,0.057482,0.029789,0.029,0.010106,0.344733,0.515635,-82.96736,28.023174,-159.36,48.411491
169,21.935,13.060,0.058,0.333,0.107,0.015,,30.691835,21.658028,0.068772,0.427945,0.138401,0.038492,10.548524,10.357068,0.012792,0.114804,0.037604,0.009266,0.530555,0.520926,0.000643,0.005774,0.001891,0.000466,97.033478,97.033463,100,5.029662,,0.015939,0.027002,0.049818,0.029547,0.028,0.010699,0.344386,0.521027,44.285103,5.4604,13.69,35.085865
170,22.004,13.212,0.000,0.391,0.135,0.009,,30.788723,21.910233,0,0.502544,0.174928,0.021644,10.547451,10.443642,0,0.134378,0.047374,0.005194,0.530816,0.525592,0,0.006763,0.002384,0.000261,97.408066,97.408066,100,5.032647,,0.016409,0.025776,0.057148,0.02965,0.028,0.009574,0.344089,0.517416,-229.73198,4.824187,11.33,54.744423
171,21.786,13.249,0.000,0.378,0.109,0.022,,30.483328,21.970427,0,0.48577,0.140174,0.053963,10.458376,10.487922,0,0.130086,0.038019,0.012968,0.526138,0.527625,0,0.006544,0.001913,0.000652,97.143661,97.143661,100.000008,5.030784,,0.016068,0.027426,0.05884,0.029476,0.028,0.009827,0.345796,0.517621,-159.92133,4.937077,13.56,23.962103
Un   24  MD6_258_6_B3_S1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,21.369,13.153,0.033,0.755,0.096,0.005,,29.899189,21.81147,0.039138,0.971029,0.124337,0.011999,10.291628,10.446209,0.007291,0.260889,0.033834,0.002893,0.517563,0.525337,0.000367,0.01312,0.001702,0.000145,96.867157,96.867157,100.000008,5.028971,,0.015753,0.026486,0.054758,0.030733,0.028,0.010268,0.349051,0.51949,81.643967,3.016641,15.02,103.26519
173,21.257,12.972,0.004,1.033,0.137,0.008,,29.742203,21.511204,0.004595,1.328974,0.17729,0.019156,10.256103,10.32103,0.000858,0.357705,0.048331,0.004627,0.515611,0.518875,0.000043,0.017983,0.00243,0.000233,96.793427,96.793427,100,5.027354,,0.015597,0.026129,0.053826,0.030542,0.027,0.009569,0.349678,0.523372,656.795349,2.427745,10.68,61.485611
174,21.371,13.281,0.000,0.209,0.022,0.017,,29.901745,22.024618,0,0.268829,0.028239,0.042058,10.314095,10.570415,0,0.072379,0.007701,0.010161,0.518454,0.531338,0,0.003638,0.000387,0.000511,96.275482,96.275475,100,5.026653,,0.016503,0.026499,0.054919,0.030395,0.028,0.010025,0.349238,0.5156,-2467.28687,8.159967,61.66,30.564791
175,17.339,10.967,0.019,0.447,0.056,0.025,,24.260981,18.186594,0.022277,0.574576,0.072878,0.061438,9.033195,9.421791,0.004489,0.166986,0.021452,0.016023,0.448253,0.467536,0.000223,0.008286,0.001064,0.000795,87.188736,87.188751,100.000008,4.962284,,0.016488,0.026008,0.065143,0.030628,0.028,0.010077,0.388582,0.570686,166.110657,4.429816,24.68,21.758326
176,6.926,4.275,0.000,0.330,0.076,0.016,,9.690176,7.088897,0,0.424342,0.098565,0.041152,4.652543,4.735726,0,0.159028,0.037412,0.013839,0.219887,0.223818,0,0.007516,0.001768,0.000654,61.35313,61.35313,100,4.726168,,0.015958,0.024688,0.080458,0.029497,0.027,0.010065,0.622662,0.945268,-33.78812,5.504679,18.17,31.285454
177,6.447,2.450,0.000,0.339,0.014,0.082,,9.020008,4.063269,0,0.435739,0.018099,0.204707,4.535727,2.84292,0,0.171028,0.007195,0.072101,0.212043,0.132905,0,0.007995,0.000336,0.003371,57.751823,57.75182,100,4.674954,,0.015499,0.025047,0.087693,0.030296,0.028,0.009357,0.645552,1.294867,-17.8969,5.477508,94.62,7.675112
178,5.738,4.723,0.000,0.555,0.056,0.019,,8.028824,7.832091,0,0.713798,0.072329,0.047935,3.870212,5.253027,0,0.26857,0.027563,0.016185,0.182752,0.248048,0,0.012682,0.001302,0.000764,60.704979,60.704979,100,4.72201,,0.015275,0.025552,0.07714,0.029966,0.028,0.009358,0.685861,0.897798,-26.95729,3.733308,25.42,25.64056
179,21.445,13.184,0.000,0.498,0.103,0.007,,30.006409,21.862968,0,0.640982,0.133637,0.016234,10.334698,10.477121,0,0.172317,0.036386,0.003916,0.51967,0.526832,0,0.008665,0.00183,0.000197,96.670227,96.670227,100,5.028399,,0.016221,0.026881,0.057621,0.028513,0.028,0.010692,0.348594,0.518729,-100.95783,3.935299,14.10,79.949455
180,21.817,13.259,0.006,0.320,0.111,0.010,,30.525818,21.988228,0.007001,0.41127,0.143517,0.025042,10.474749,10.498219,0.0013,0.110155,0.038932,0.006019,0.527009,0.52819,0.000065,0.005542,0.001959,0.000303,97.11087,97.11087,100.000008,5.031231,,0.015617,0.025978,0.057753,0.030474,0.028,0.010766,0.345552,0.516491,463.374268,5.744139,13.50,52.992382
